input_protein,input_ligand,input_docking_grid,output_ligand_name,output_ligand_dir2
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5S8I/5S8I_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5S8I/5S8I_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5S8I/5S8I_ligand_docking_grid_boxsize10.json,5S8I,posebustersv1_predict_sdf_boxsize10/5S8I
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SAK/5SAK_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SAK/5SAK_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SAK/5SAK_ligand_docking_grid_boxsize10.json,5SAK,posebustersv1_predict_sdf_boxsize10/5SAK
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SB2/5SB2_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SB2/5SB2_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SB2/5SB2_ligand_docking_grid_boxsize10.json,5SB2,posebustersv1_predict_sdf_boxsize10/5SB2
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SD5/5SD5_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SD5/5SD5_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SD5/5SD5_ligand_docking_grid_boxsize10.json,5SD5,posebustersv1_predict_sdf_boxsize10/5SD5
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SIS/5SIS_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SIS/5SIS_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/5SIS/5SIS_ligand_docking_grid_boxsize10.json,5SIS,posebustersv1_predict_sdf_boxsize10/5SIS
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6M2B/6M2B_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6M2B/6M2B_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6M2B/6M2B_ligand_docking_grid_boxsize10.json,6M2B,posebustersv1_predict_sdf_boxsize10/6M2B
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6M73/6M73_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6M73/6M73_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6M73/6M73_ligand_docking_grid_boxsize10.json,6M73,posebustersv1_predict_sdf_boxsize10/6M73
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6T88/6T88_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6T88/6T88_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6T88/6T88_ligand_docking_grid_boxsize10.json,6T88,posebustersv1_predict_sdf_boxsize10/6T88
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6TW5/6TW5_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6TW5/6TW5_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6TW5/6TW5_ligand_docking_grid_boxsize10.json,6TW5,posebustersv1_predict_sdf_boxsize10/6TW5
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6TW7/6TW7_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6TW7/6TW7_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6TW7/6TW7_ligand_docking_grid_boxsize10.json,6TW7,posebustersv1_predict_sdf_boxsize10/6TW7
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6VS3/6VS3_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6VS3/6VS3_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6VS3/6VS3_ligand_docking_grid_boxsize10.json,6VS3,posebustersv1_predict_sdf_boxsize10/6VS3
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6VTA/6VTA_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6VTA/6VTA_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6VTA/6VTA_ligand_docking_grid_boxsize10.json,6VTA,posebustersv1_predict_sdf_boxsize10/6VTA
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6W59/6W59_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6W59/6W59_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6W59/6W59_ligand_docking_grid_boxsize10.json,6W59,posebustersv1_predict_sdf_boxsize10/6W59
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6WTN/6WTN_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6WTN/6WTN_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6WTN/6WTN_ligand_docking_grid_boxsize10.json,6WTN,posebustersv1_predict_sdf_boxsize10/6WTN
